category,image,item_id,like,link,price,review,title
Electric Scooters,https://img.gkbcdn.com/p/2022-01-24/HIMO-L2-MAX-Folding-Electric-Scooter-350W-Motor---Black-494886-0._w280_.jpg,494886,99,https://www.geekbuying.com/item/HIMO-L2-MAX-Folding-Electric-Scooter-350W-Motor---Black-494886.html,$289.99,13,HIMO L2 MAX Folding Electric Scooter 10 Inch Tires 350W Brushless Motor 36V 10.4Ah Battery 25KM/H Speed 100KG Max Load Double Brakes - Grey
Smart Glasses,https://img.gkbcdn.com/p/2022-07-27/Lenovo-Lecoo-C8-Smart-Music-Bluetooth-5-0-Sunglasses-Black-509243-0._w280_.jpg,509243,63,https://www.geekbuying.com/item/Lenovo-Lecoo-C8-Smart-Music-Bluetooth-5-0-Sunglasses-Black-509243.html,$28.99,6,Lenovo Lecoo C8 Smart Music Bluetooth 5.0 Sunglasses HiFi Headset Wireless Driving Glasses with HD Mic - Black Lens
Other Accessories,https://img.gkbcdn.com/p/2022-04-21/Bezior-Mini-Inflator-Air-Compressor-Pump-499873-0._w280_.jpg,499873,39,https://www.geekbuying.com/item/Bezior-Mini-Inflator-Air-Compressor-Pump-499873.html,$45.99,,Bezior Mini Inflator Air Compressor Pump 2000mAh 120PSI with Digital Gauge for Bike Car Tyre
Electric Scooters,https://img.gkbcdn.com/p/2020-07-01/kugoo-m4-folding-offroad-electric-scooter-500w-motor-45km-range-1593586327367._w280_.jpg,421459,492,https://www.geekbuying.com/item/KUGOO-M4-Folding-Offroad-Electric-Scooter-500W-Motor-45KM-Range-421459.html,$469.99,19,KugooKirin M4 Folding Electric Off Road Scooter 10 Inch Pneumatic Tires 500W Brushless 10Ah Battery Motor 3 Speed Modes Dual Disc Brake Max Speed 45KM/h LED Display 45KM Long Range with Seat - Black
Bikes,https://img.gkbcdn.com/p/2022-04-24/eleglide-m1-plus-upgraded-version-electric-bike-12-5ah-250w-black-258649-1650765309927._w280_.jpg,461061,311,https://www.geekbuying.com/item/ELEGLIDE-M1-PLUS-Electric-Bike-12-5Ah-250W-Motor-MTB-Black-461061.html,$782.15,40,ELEGLIDE M1 PLUS Electric Mountain Bike Upgraded Version 27.5 Inch 250W Brushless Motor SHIMANO 21 Speeds Shifter 36V 12.5Ah Battery 25km/h Speed IPX4 Waterproof Electric-Assist up to 100km Max Range Aluminum Alloy Frame Dual Disk Brake - Black
Bikes,https://img.gkbcdn.com/p/2022-05-11/ELEGLIDE-T1-Electric-Bike-36V-12-5AH-250W-MTB-Bike-500404-0._w280_.jpg,500404,101,https://www.geekbuying.com/item/ELEGLIDE-T1-Electric-Bike-36V-12-5AH-250W-MTB-Bike-500404.html,$879.92,5,ELEGLIDE T1 Electric Trekking Bike Trekking E-Bike 27.5 Inch CST Tires 36V 12.5AH Battery 250W Motor Shimano 7 Gears Max Speed 25Km/h Max Range 100KM Max Load 120KG IPX4 Waterproof Dual Disk Brake - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-07-07/KugooKirin-M4-PRO-Foldable-Electric-Scooter-Upgraded-Version-48V-18Ah-507618-0._w280_.jpg,507618,76,https://www.geekbuying.com/item/KugooKirin-M4-PRO-Electric-Scooter-Upgraded-Version-500W-48V-18Ah-507618.html,$619.99,10,KugooKirin M4 PRO Foldable Electric Scooter Upgraded Version 10 Inch Off-Road Tyre 500W Brushless Motor 48V 18Ah Battery 3 Speed Modes Dual Disc Brake Max Speed 45KM/h LED Display 70KM Long Range with Seat Removable Saddle - Black
Bikes,https://img.gkbcdn.com/p/2022-04-24/eleglide-m1-upgraded-version-electric-bike-7-5ah-250w-motor-dark-blue-b23cd2-1650765670228._w280_.jpg,461060,289,https://www.geekbuying.com/item/ELEGLIDE-M1-Electric-Bike-7-5Ah-250W-Motor-Mountant-Bicycle-Dark-Blue-461060.html,$635.50,43,ELEGLIDE M1 Electric Bike Upgraded Version 27.5 inch Mountain Urban Bicycle 250W Hall Brushless Motor SHIMANO Shifter 21 Speeds 36V 7.5Ah Removable Battery 25km/h Max Speed up to 65km Max Range IPX4 Aluminum Alloy Frame Dual Disk Brake - Dark Blue
Electric Scooters,https://img.gkbcdn.com/p/2022-10-04/KUKIRIN-G2-MAX-Electric-Scooter-10-2-75---Off-road-Pneumatic-Tires-517363-4._w280_.jpg,517363,55,https://www.geekbuying.com/item/KUKIRIN-G2-MAX-Electric-Scooter-10-Inch-48V-20AH-55KM-H-1000W-Motor-517363.html,$879.93,8,KUKIRIN G2 MAX Electric Scooter 10*2.75 Inch Off-road Pneumatic Tires 1000W Brushless Motor 55Km/h Max Speed 48V 20Ah Battery 80km Range 3 Speed Modes 120KG Max Load Dual Disc Brakes Detachable Seat Adjustable Handlebar Height
Bikes,https://img.gkbcdn.com/p/2022-05-11/ELEGLIDE-T1-STEP-THRU-Electric-Bike-36V-12-5AH-250W-MTB-Bike-500405-0._w280_.jpg,500405,73,https://www.geekbuying.com/item/ELEGLIDE-T1-STEP-THRU-Electric-Bike-36V-12-5AH-250W-MTB-Bike-500405.html,$928.81,9,ELEGLIDE T1 STEP-THRU Electric Trekking Bike Trekking E-Bike 27.5 Inch CST Tires 36V 12.5AH Battery 250W Brushless Motor Shimano 7 Gears Max Speed 25Km/h Max Range 100KM Max Load 120KG IPX4 Waterproof Dual Disk Brake - White
Electric Scooters,https://img.gkbcdn.com/p/2021-12-27/kugookirin-g3-electric-scooter-1200w-motor-52v-18ah-battery-217364-1640589906322._w280_.jpg,473290,175,https://www.geekbuying.com/item/Kugoo-Kirin-G3-Electric-Scooter-1200W-Motor-52V-18AH-Battery-Black-473290.html,$919.99,12,KugooKirin G3 Adventurers Electric Scooter 10.5 Inch 1200W Rear Motor 52V 18Ah Lithium battery Max Speed 50KM/H Touchable Display Control Panel TPU Suspension System IPX4 - Black
